id,sku,name,description,category,sub_category,brand,price,cost_price,stock_quantity,is_active,created_at,updated_at
63,TL-00004-80,BrightMind Magnetic Tiles,Premium learning toys product by BrightMind. High quality and durable.,Toys,Learning Toys,BrightMind,40.21,18.85,541,True,2024-09-01 12:45:43,
64,FDCT-00003-82,BrewRoots Energy Gummies,Premium coffee & tea product by BrewRoots. High quality and durable.,Food & Drink,Coffee & Tea,BrewRoots,64.05,31.42,1934,True,2021-08-31 00:13:39,
65,FA-00001-24,CharmWear Wool Coat,Premium accessories product by CharmWear. High quality and durable.,Fashion,Accessories,CharmWear,304.24,140.56,4547,True,2022-07-02 08:29:09,
66,HD-00002-18,Serein Lab Scented Candle,Premium decor product by Serein Lab. High quality and durable.,Home,Decor,Serein Lab,362.97,195.98,4885,True,2023-10-15 05:19:40,
67,BH-00006-94,GlossGlow Eye Cream,Premium haircare product by GlossGlow. High quality and durable.,Beauty,Haircare,GlossGlow,16.73,6.29,1138,True,2021-01-01 13:44:42,
68,FDS-00007-94,PureBoost Herbal Tea Box,Premium supplements product by PureBoost. High quality and durable.,Food & Drink,Supplements,PureBoost,16.19,7.87,3194,True,2022-08-31 21:57:38,
69,EL-00007-48,Voltix USB-C Hub,Premium laptops product by Voltix. High quality and durable.,Electronics,Laptops,Voltix,695.07,430.68,2494,True,2023-12-06 14:13:51,
70,SC-00004-11,VeloEdge Pro Bar,Premium cycling product by VeloEdge. High quality and durable.,Sports,Cycling,VeloEdge,250.42,119.86,1044,True,2024-02-22 03:15:15,
71,TL-00005-10,BrightMind Science Kit,Premium learning toys product by BrightMind. High quality and durable.,Toys,Learning Toys,BrightMind,143.64,84.35,2942,True,2021-04-07 21:18:10,
72,EC-00003-99,OpticPro USB-C Hub,Premium cameras product by OpticPro. High quality and durable.,Electronics,Cameras,OpticPro,718.44,372.74,3135,True,2022-10-19 05:24:43,
73,FWA-00001-70,Fiorelux Casual Sneakers,Premium women's apparel product by Fiorelux. High quality and durable.,Fashion,Women's Apparel,Fiorelux,86.75,42.89,2951,True,2023-06-16 05:56:48,
74,FDSN-00003-26,MunchCo Herbal Tea Box,Premium snacks product by MunchCo. High quality and durable.,Food & Drink,Snacks,MunchCo,15.07,4.9,128,True,2024-09-18 21:19:49,
75,ESH-00002-27,NexLink LED Strip,Premium smart home product by NexLink. High quality and durable.,Electronics,Smart Home,NexLink,779.64,347.37,3735,True,2024-08-15 14:48:13,
76,TL-00006-68,BrightMind Puzzle Set,Premium learning toys product by BrightMind. High quality and durable.,Toys,Learning Toys,BrightMind,106.79,52.67,3686,True,2022-08-01 05:35:01,
77,BH-00007-10,GlossGlow Foundation Kit,Premium haircare product by GlossGlow. High quality and durable.,Beauty,Haircare,GlossGlow,90.07,53.72,1939,True,2024-06-30 10:17:14,
78,TBG-00005-56,GameCraft Building Blocks,Premium board games product by GameCraft. High quality and durable.,Toys,Board Games,GameCraft,16.36,5.12,3958,True,2025-02-05 01:41:45,
79,FF-00003-28,StepUp Running Shoes,Premium footwear product by StepUp. High quality and durable.,Fashion,Footwear,StepUp,370.49,179.41,2289,True,2021-10-02 19:02:16,
80,EC-00004-90,OpticPro Smart Doorbell,Premium cameras product by OpticPro. High quality and durable.,Electronics,Cameras,OpticPro,896.48,570.29,639,True,2023-08-29 21:40:05,
81,TL-00007-53,BrightMind Remote Car,Premium learning toys product by BrightMind. High quality and durable.,Toys,Learning Toys,BrightMind,111.66,33.92,3719,True,2023-10-27 23:28:28,
82,BM-00001-47,Lumiere Co Dry Shampoo,Premium makeup product by Lumiere Co. High quality and durable.,Beauty,Makeup,Lumiere Co,49.07,15.33,4895,True,2023-03-21 04:02:53,
83,SC-00005-70,VeloEdge Jump Rope,Premium cycling product by VeloEdge. High quality and durable.,Sports,Cycling,VeloEdge,237.58,118.91,2390,True,2021-03-26 19:29:34,
84,HD-00003-20,Serein Lab Storage Basket,Premium decor product by Serein Lab. High quality and durable.,Home,Decor,Serein Lab,84.82,27.73,2276,True,2023-05-23 22:47:09,
85,HD-00004-11,Serein Lab Wall Clock,Premium decor product by Serein Lab. High quality and durable.,Home,Decor,Serein Lab,447.44,228.79,4847,True,2024-10-19 16:52:27,
86,HK-00001-43,ChefMate Desk Lamp,Premium kitchen product by ChefMate. High quality and durable.,Home,Kitchen,ChefMate,471.69,180.5,1481,True,2021-04-13 19:24:31,
87,HK-00002-28,ChefMate Scented Candle,Premium kitchen product by ChefMate. High quality and durable.,Home,Kitchen,ChefMate,361.37,212.34,4062,True,2024-04-05 11:00:07,
88,EC-00005-91,OpticPro 4K Webcam,Premium cameras product by OpticPro. High quality and durable.,Electronics,Cameras,OpticPro,221.56,111.27,2826,True,2021-12-27 09:10:00,
89,SF-00002-69,IronPath Pull-Up Bar,Premium fitness product by IronPath. High quality and durable.,Sports,Fitness,IronPath,168.52,68.33,4362,True,2024-04-26 21:45:48,
90,BM-00002-28,Lumiere Co Lip Palette,Premium makeup product by Lumiere Co. High quality and durable.,Beauty,Makeup,Lumiere Co,83.32,37.67,2365,True,2024-04-01 20:17:22,
91,FMA-00004-77,DapperCo Baseball Cap,Premium men's apparel product by DapperCo. High quality and durable.,Fashion,Men's Apparel,DapperCo,347.78,109.33,4352,True,2024-09-03 12:17:19,
92,TBG-00006-44,GameCraft Plush Bear,Premium board games product by GameCraft. High quality and durable.,Toys,Board Games,GameCraft,73.64,28.98,805,True,2024-04-30 06:32:19,
93,BH-00008-40,GlossGlow Dry Shampoo,Premium haircare product by GlossGlow. High quality and durable.,Beauty,Haircare,GlossGlow,112.27,56.81,1596,True,2022-07-13 23:33:28,
94,HF-00005-11,NestCraft Storage Basket,Premium furniture product by NestCraft. High quality and durable.,Home,Furniture,NestCraft,406.95,240.54,97,True,2021-11-19 19:53:18,
95,FA-00002-54,CharmWear Leather Belt,Premium accessories product by CharmWear. High quality and durable.,Fashion,Accessories,CharmWear,125.32,50.02,1581,False,2021-10-13 15:38:21,
96,SC-00006-94,VeloEdge Pull-Up Bar,Premium cycling product by VeloEdge. High quality and durable.,Sports,Cycling,VeloEdge,359.18,135.01,4910,True,2022-01-08 18:08:31,
97,SC-00007-26,VeloEdge Resistance Band Set,Premium cycling product by VeloEdge. High quality and durable.,Sports,Cycling,VeloEdge,159.74,90.63,4637,True,2021-12-11 09:12:31,
98,FWA-00002-42,Fiorelux Linen Shirt,Premium women's apparel product by Fiorelux. High quality and durable.,Fashion,Women's Apparel,Fiorelux,161.39,85.73,620,True,2024-08-19 14:11:22,
99,FMA-00005-42,DapperCo Linen Shirt,Premium men's apparel product by DapperCo. High quality and durable.,Fashion,Men's Apparel,DapperCo,97.74,31.85,511,True,2021-07-06 14:17:51,
100,HD-00005-32,Serein Lab Coffee Maker,Premium decor product by Serein Lab. High quality and durable.,Home,Decor,Serein Lab,269.94,127.44,1643,True,2025-03-09 18:27:05,
101,SF-00003-79,IronPath Pull-Up Bar,Premium fitness product by IronPath. High quality and durable.,Sports,Fitness,IronPath,310.95,117.05,870,True,2023-03-16 16:09:39,
102,SF-00004-19,IronPath Kettlebell,Premium fitness product by IronPath. High quality and durable.,Sports,Fitness,IronPath,42.11,23.36,3652,False,2022-04-08 11:22:44,
103,FF-00004-14,StepUp Leather Belt,Premium footwear product by StepUp. High quality and durable.,Fashion,Footwear,StepUp,339.01,133.32,2701,True,2021-01-12 12:10:18,
104,TBG-00007-72,GameCraft Building Blocks,Premium board games product by GameCraft. High quality and durable.,Toys,Board Games,GameCraft,100.85,44.51,574,True,2024-04-09 08:43:16,
105,FA-00003-25,CharmWear Linen Shirt,Premium accessories product by CharmWear. High quality and durable.,Fashion,Accessories,CharmWear,292.28,183.34,2940,True,2024-05-29 16:00:16,
106,SC-00008-92,VeloEdge Kettlebell,Premium cycling product by VeloEdge. High quality and durable.,Sports,Cycling,VeloEdge,49.91,24.31,2785,True,2023-06-20 20:53:07,
107,FWA-00003-32,Fiorelux Wool Coat,Premium women's apparel product by Fiorelux. High quality and durable.,Fashion,Women's Apparel,Fiorelux,286.15,182.74,1564,True,2021-11-28 17:12:01,
108,FMA-00006-72,DapperCo Casual Sneakers,Premium men's apparel product by DapperCo. High quality and durable.,Fashion,Men's Apparel,DapperCo,60.73,31.67,1552,True,2021-03-20 19:19:19,
109,FWA-00004-72,Fiorelux Baseball Cap,Premium women's apparel product by Fiorelux. High quality and durable.,Fashion,Women's Apparel,Fiorelux,206.61,119.31,2520,True,2024-10-27 22:46:42,
110,SF-00005-53,IronPath Resistance Band Set,Premium fitness product by IronPath. High quality and durable.,Sports,Fitness,IronPath,36.58,21.06,350,True,2024-11-25 02:34:16,
111,FWA-00005-84,Fiorelux Running Shoes,Premium women's apparel product by Fiorelux. High quality and durable.,Fashion,Women's Apparel,Fiorelux,131.83,42.87,1159,True,2025-01-04 00:40:56,
112,TL-00008-41,BrightMind Science Kit,Premium learning toys product by BrightMind. High quality and durable.,Toys,Learning Toys,BrightMind,143.25,49.52,1411,True,2021-10-30 06:38:06,
113,BH-00009-31,GlossGlow Hair Mask,Premium haircare product by GlossGlow. High quality and durable.,Beauty,Haircare,GlossGlow,126.62,40.82,871,True,2022-11-17 07:04:47,
114,SF-00006-64,IronPath Pull-Up Bar,Premium fitness product by IronPath. High quality and durable.,Sports,Fitness,IronPath,144.88,85.85,3293,True,2022-03-03 16:01:21,
115,HK-00003-15,ChefMate Desk Lamp,Premium kitchen product by ChefMate. High quality and durable.,Home,Kitchen,ChefMate,359.92,150.24,989,True,2024-07-13 20:09:01,
116,EL-00008-80,Voltix Smart Speaker,Premium laptops product by Voltix. High quality and durable.,Electronics,Laptops,Voltix,218.88,84.33,4767,False,2024-03-14 14:21:50,
117,FDS-00008-12,PureBoost Whey Protein,Premium supplements product by PureBoost. High quality and durable.,Food & Drink,Supplements,PureBoost,70.97,23.3,59,True,2023-06-01 12:33:27,
118,BH-00010-70,GlossGlow Lip Palette,Premium haircare product by GlossGlow. High quality and durable.,Beauty,Haircare,GlossGlow,106.31,39.56,2219,True,2023-01-14 08:03:10,
119,ESH-00003-86,NexLink Portable Charger,Premium smart home product by NexLink. High quality and durable.,Electronics,Smart Home,NexLink,236.5,112.33,721,True,2023-07-25 19:04:56,
120,HD-00006-10,Serein Lab Storage Basket,Premium decor product by Serein Lab. High quality and durable.,Home,Decor,Serein Lab,339.05,124.49,4343,True,2024-01-30 09:19:01,
121,FDSN-00004-74,MunchCo Collagen Powder,Premium snacks product by MunchCo. High quality and durable.,Food & Drink,Snacks,MunchCo,21.45,12.22,1704,True,2021-12-17 01:57:50,
122,FDS-00009-97,PureBoost Energy Gummies,Premium supplements product by PureBoost. High quality and durable.,Food & Drink,Supplements,PureBoost,68.28,42.27,4075,True,2021-05-14 22:55:56,
123,SC-00009-56,VeloEdge Water Bottle,Premium cycling product by VeloEdge. High quality and durable.,Sports,Cycling,VeloEdge,124.75,56.4,2738,True,2024-11-08 21:08:11,
124,SF-00007-16,IronPath Pro Bar,Premium fitness product by IronPath. High quality and durable.,Sports,Fitness,IronPath,371.07,134.16,238,True,2021-08-09 03:40:00,
125,EC-00006-85,OpticPro Smart Speaker,Premium cameras product by OpticPro. High quality and durable.,Electronics,Cameras,OpticPro,706.22,315.45,2668,True,2023-10-11 06:10:52,
126,ESH-00004-40,NexLink Smart Speaker,Premium smart home product by NexLink. High quality and durable.,Electronics,Smart Home,NexLink,891.85,539.09,3076,True,2025-01-03 07:34:44,
127,TO-00004-16,PlayZone Remote Car,Premium outdoor play product by PlayZone. High quality and durable.,Toys,Outdoor Play,PlayZone,179.19,62.85,4992,True,2024-03-06 09:03:58,
128,EC-00007-34,OpticPro Smart Speaker,Premium cameras product by OpticPro. High quality and durable.,Electronics,Cameras,OpticPro,767.62,492.39,1656,True,2021-07-05 07:57:17,
129,HK-00004-24,ChefMate Coffee Maker,Premium kitchen product by ChefMate. High quality and durable.,Home,Kitchen,ChefMate,512.47,235.99,1402,True,2023-07-07 00:50:15,
130,TL-00009-91,BrightMind Magnetic Tiles,Premium learning toys product by BrightMind. High quality and durable.,Toys,Learning Toys,BrightMind,191.02,117.85,4735,True,2022-12-15 15:50:41,
131,SO-00005-76,TrailForce Kettlebell,Premium outdoor product by TrailForce. High quality and durable.,Sports,Outdoor,TrailForce,203.35,131.87,4846,True,2023-05-18 08:29:22,
132,SC-00010-64,VeloEdge Resistance Band Set,Premium cycling product by VeloEdge. High quality and durable.,Sports,Cycling,VeloEdge,298.43,115.29,2681,True,2022-04-08 19:59:09,
133,TL-00010-63,BrightMind Plush Bear,Premium learning toys product by BrightMind. High quality and durable.,Toys,Learning Toys,BrightMind,196.23,61.62,3855,True,2021-04-15 10:55:48,
134,BH-00011-60,GlossGlow Moisturiser SPF30,Premium haircare product by GlossGlow. High quality and durable.,Beauty,Haircare,GlossGlow,76.06,44.06,802,True,2021-09-16 03:45:10,
135,TL-00011-98,BrightMind Puzzle Set,Premium learning toys product by BrightMind. High quality and durable.,Toys,Learning Toys,BrightMind,149.04,94.26,1087,True,2021-10-09 21:16:57,
136,SO-00006-95,TrailForce Pro Bar,Premium outdoor product by TrailForce. High quality and durable.,Sports,Outdoor,TrailForce,132.36,72.29,4672,True,2024-11-14 03:23:16,
137,BS-00007-61,Velvet Hue Vitamin C Serum,Premium skincare product by Velvet Hue. High quality and durable.,Beauty,Skincare,Velvet Hue,34.26,20.73,3803,True,2021-08-08 15:40:09,
138,BH-00012-52,GlossGlow Hair Mask,Premium haircare product by GlossGlow. High quality and durable.,Beauty,Haircare,GlossGlow,83.39,33.67,2210,True,2022-10-06 13:57:25,
139,FDSN-00005-20,MunchCo Energy Gummies,Premium snacks product by MunchCo. High quality and durable.,Food & Drink,Snacks,MunchCo,51.53,21.51,449,True,2024-02-05 21:06:01,
140,SF-00008-59,IronPath Pull-Up Bar,Premium fitness product by IronPath. High quality and durable.,Sports,Fitness,IronPath,155.75,80.48,2994,True,2021-07-28 04:19:23,
141,TBG-00008-36,GameCraft Remote Car,Premium board games product by GameCraft. High quality and durable.,Toys,Board Games,GameCraft,36.3,15.15,4420,True,2022-10-14 19:22:20,
142,FDSN-00006-38,MunchCo Cold Brew Blend,Premium snacks product by MunchCo. High quality and durable.,Food & Drink,Snacks,MunchCo,29.03,17.83,4125,True,2021-06-19 04:49:54,
143,SO-00007-54,TrailForce Jump Rope,Premium outdoor product by TrailForce. High quality and durable.,Sports,Outdoor,TrailForce,189.18,89.96,1005,True,2023-06-28 00:48:35,
144,BH-00013-57,GlossGlow Lip Palette,Premium haircare product by GlossGlow. High quality and durable.,Beauty,Haircare,GlossGlow,121.59,76.71,537,True,2021-09-29 06:12:44,
145,SO-00008-32,TrailForce Pro Bar,Premium outdoor product by TrailForce. High quality and durable.,Sports,Outdoor,TrailForce,126.02,80.0,895,True,2022-04-05 16:15:11,
146,BS-00008-36,Velvet Hue Dry Shampoo,Premium skincare product by Velvet Hue. High quality and durable.,Beauty,Skincare,Velvet Hue,81.94,42.57,2401,True,2022-02-15 04:40:26,
147,BM-00003-63,Lumiere Co Vitamin C Serum,Premium makeup product by Lumiere Co. High quality and durable.,Beauty,Makeup,Lumiere Co,71.03,37.34,2388,True,2022-12-23 19:38:09,
148,FDSN-00007-92,MunchCo Energy Gummies,Premium snacks product by MunchCo. High quality and durable.,Food & Drink,Snacks,MunchCo,30.19,15.17,2673,True,2024-10-15 08:42:59,
149,BM-00004-82,Lumiere Co Moisturiser SPF30,Premium makeup product by Lumiere Co. High quality and durable.,Beauty,Makeup,Lumiere Co,26.74,15.41,1406,True,2025-02-13 11:47:01,
150,HD-00007-16,Serein Lab Coffee Maker,Premium decor product by Serein Lab. High quality and durable.,Home,Decor,Serein Lab,97.52,38.96,1362,True,2023-06-06 05:31:37,
151,EH-00005-98,Auraloop Smart Speaker,Premium headphones product by Auraloop. High quality and durable.,Electronics,Headphones,Auraloop,1088.04,628.95,1320,True,2023-09-11 17:20:01,
152,TL-00012-66,BrightMind Card Game,Premium learning toys product by BrightMind. High quality and durable.,Toys,Learning Toys,BrightMind,59.48,21.68,4607,True,2023-09-12 17:02:23,
153,HK-00005-57,ChefMate Air Fryer,Premium kitchen product by ChefMate. High quality and durable.,Home,Kitchen,ChefMate,274.57,176.11,4371,True,2024-06-10 22:21:13,
154,BS-00009-68,Velvet Hue Foundation Kit,Premium skincare product by Velvet Hue. High quality and durable.,Beauty,Skincare,Velvet Hue,139.75,49.56,4474,True,2023-07-08 06:19:03,
155,BM-00005-83,Lumiere Co Vitamin C Serum,Premium makeup product by Lumiere Co. High quality and durable.,Beauty,Makeup,Lumiere Co,102.7,59.55,3621,True,2025-01-28 03:25:45,
