ID,Category,Title,Body,effective_date,status
PA-007,Policy,Product warranty details,"Electronics come with 1-year manufacturer warranty. Check product page for specific coverage details.",2023-05-01 00:00:00,active
PA-008,Policy,How to apply a coupon,"Enter your coupon code at checkout before payment. Code appears in promotional emails or cart banners.",2023-02-01 00:00:00,active
PA-009,Policy,Bulk order discounts,"Orders of 10+ identical items receive 10% discount automatically applied at checkout.",2023-06-15 00:00:00,inactive
PA-010,Policy,Privacy and data protection,"We protect your data with encryption and never sell your information to third parties. GDPR compliant.",2023-04-01 00:00:00,active
CA-001,Campaign,Spring Savings Event,"Seasonal promotion offering up to 20% off selected products.",2023-03-15 00:00:00,active
CA-002,Campaign,Free Shipping Week,"Free standard shipping on all orders for one week.",2023-02-10 00:00:00,inactive
CA-003,Campaign,Refer a Friend Program,"Customers receive store credit when referred friends complete a purchase.",2023-04-05 00:00:00,active
CA-004,Campaign,Summer Launch Promotion,"Marketing campaign supporting new summer product releases.",2023-06-01 00:00:00,active
CA-005,Campaign,Holiday Flash Sale,"Limited-time discounts during holiday season.",2023-01-25 00:00:00,inactive
MK-001,Marketing,Email Newsletter Expansion,"Increased email marketing frequency from weekly to twice weekly.",2023-02-05 00:00:00,active
MK-002,Marketing,Influencer Partnership Program,"Collaborated with social media influencers to promote products.",2023-03-20 00:00:00,active
MK-003,Marketing,Retargeting Ads Initiative,"Launched retargeting advertisements for abandoned carts.",2023-04-12 00:00:00,active
MK-004,Marketing,SMS Promotions Trial,"Tested promotional SMS campaigns for repeat customers.",2023-05-18 00:00:00,inactive
MK-005,Marketing,Loyalty Program Awareness Campaign,"Marketing effort to increase loyalty program enrollments.",2023-06-10 00:00:00,active
